STN_NAME,STN_NO,LINE_SEQ,X,Y,Latitude,Longitude,COLOR,Line,Current,ready by 2019,ready by 2020,ready by 2021,ready by 2023,ready by 2024,ready by 2025,ready by 2029
EXPO MRT STATION,CG1,1,42270.6232,35193.6223,1.334549778,103.9615134,OTHERS,Changi Airport Branch Line,1,,,,,,,
MARINA BAY MRT STATION,CE2,2,30423.4296,28735.7843,1.276150637,103.8550886,OTHERS,Circle Line,1,,,,,,,
BAYFRONT MRT STATION,CE1,1,30867.0093,29368.625,1.281873788,103.8590733,OTHERS,Circle Line,1,,,,,,,
PAYA LEBAR MRT STATION,CC9,9,34550.5756,33300.3402,1.317430268,103.8921633,YELLOW,Circle Line,1,,,,,,,
DAKOTA MRT STATION,CC8,8,34159.2741,32299.8905,1.281404978,103.839125,YELLOW,Circle Line,1,,,,,,,
MOUNTBATTEN MRT STATION,CC7,7,33476.5634,32058.7418,1.306201905,103.8825153,YELLOW,Circle Line,1,,,,,,,
STADIUM MRT STATION,CC6,6,32677.7526,31687.0547,1.30284063,103.8753395,YELLOW,Circle Line,1,,,,,,,
NICOLL HIGHWAY MRT STATION,CC5,5,31374.1708,31347.1516,1.299766835,103.8636292,YELLOW,Circle Line,1,,,,,,,
PROMENADE MRT STATION,CC4,4,31080.6082,30623.0174,1.293218051,103.8609921,YELLOW,Circle Line,1,,,,,,,
ESPLANADE MRT STATION,CC3,3,30469.0566,30634.4621,1.293321608,103.8554985,YELLOW,Circle Line,1,,,,,,,
HARBOURFRONT MRT STATION,CC29,29,26678.3445,27555.0595,1.26547264,103.821446,YELLOW,Circle Line,1,,,,,,,
TELOK BLANGAH MRT STATION,CC28,28,25376.8469,28138.9667,1.270753211,103.8097544,YELLOW,Circle Line,1,,,,,,,
LABRADOR PARK MRT STATION,CC27,27,24619.0578,28313.6298,1.272332732,103.8029471,YELLOW,Circle Line,1,,,,,,,
PASIR PANJANG MRT STATION,CC26,26,23329.2647,28742.7658,1.276213523,103.7913607,YELLOW,Circle Line,1,,,,,,,
HAW PAR VILLA MRT STATION,CC25,25,22267.5675,29442.573,1.282542157,103.7818234,YELLOW,Circle Line,1,,,,,,,
KENT RIDGE MRT STATION,CC24,24,22581.5421,30650.0972,1.293462633,103.7846438,YELLOW,Circle Line,1,,,,,,,
ONE-NORTH MRT STATION,CC23,23,22896.0731,31346.4085,1.299759879,103.7874693,YELLOW,Circle Line,1,,,,,,,
BUONA VISTA MRT STATION,CC22,22,23251.7611,32090.7692,1.306491669,103.7906645,YELLOW,Circle Line,1,,,,,,,
HOLLAND VILLAGE MRT STATION,CC21,21,23868.1442,32681.5744,1.31183479,103.7962016,YELLOW,Circle Line,1,,,,,,,
FARRER ROAD MRT STATION,CC20,20,25136.2263,33309.1617,1.317510612,103.8075929,YELLOW,Circle Line,1,,,,,,,
BRAS BASAH MRT STATION,CC2,2,29930.7674,31025.9016,1.296861687,103.8506629,YELLOW,Circle Line,1,,,,,,,
BOTANIC GARDENS MRT STATION,CC19,19,25959.4046,33817.7525,1.322110193,103.8149876,YELLOW,Circle Line,1,,,,,,,
BUKIT BROWN MRT STATION,CC18,18,27707.4166,35102.4802,1.333728882,103.8306903,YELLOW,Circle Line,1,,,,,,,
CALDECOTT MRT STATION,CC17,17,28691.2451,35538.768,1.337674508,103.8395281,YELLOW,Circle Line,1,,,,,,,
MARYMOUNT MRT STATION,CC16,16,28679.3688,36758.7136,1.348707263,103.8394214,YELLOW,Circle Line,1,,,,,,,
BISHAN MRT STATION,CC15,15,29762.3507,37046.3699,1.35130868,103.84915,YELLOW,Circle Line,1,,,,,,,
LORONG CHUAN MRT STATION,CC14,14,31431.4054,37079.9444,1.351612171,103.8641434,YELLOW,Circle Line,1,,,,,,,
SERANGOON MRT STATION,CC13,13,32345.7724,36967.5123,1.350595256,103.8723572,YELLOW,Circle Line,1,,,,,,,
BARTLEY MRT STATION,CC12,12,33168.3039,36108.7003,1.342828338,103.8797462,YELLOW,Circle Line,1,,,,,,,
TAI SENG MRT STATION,CC11,11,34107.1526,35291.0164,1.335433322,103.88818,YELLOW,Circle Line,1,,,,,,,
MACPHERSON MRT STATION,CC10,10,34340.0124,34286.1222,1.326345372,103.8902718,YELLOW,Circle Line,1,,,,,,,
DHOBY GHAUT MRT STATION,CC1,1,29437.9401,31244.9618,1.298842816,103.8462358,YELLOW,Circle Line,1,,,,,,,
BANGKIT LRT STATION,BP9,9,21248.246,40220.9693,1.380017897,103.7726667,LRT,LRT,1,,,,,,,
PENDING LRT STATION,BP8,8,21094.7812,39792.4936,1.376142883,103.7712881,LRT,LRT,1,,,,,,,
PETIR LRT STATION,BP7,7,20582.7273,39970.2513,1.377750334,103.7666882,LRT,LRT,1,,,,,,,
BUKIT PANJANG LRT STATION,BP6,6,20175.9353,39987.9068,1.377909898,103.763034,LRT,LRT,1,,,,,,,
PHOENIX LRT STATION,BP5,5,19621.7772,40066.3155,1.378618844,103.7580559,LRT,LRT,1,,,,,,,
TECK WHYE LRT STATION,BP4,4,19140.8,39852.4608,1.376684679,103.7537352,LRT,LRT,1,,,,,,,
KEAT HONG LRT STATION,BP3,3,18622.5727,40064.5711,1.378602766,103.7490799,LRT,LRT,1,,,,,,,
SOUTH VIEW LRT STATION,BP2,2,18203.7243,40252.0686,1.380298287,103.7453173,LRT,LRT,1,,,,,,,
